Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
127,"Another man is also standing outdoors and he also swings the axe and chops a piece of wood and the wood piece gets stuck onto his axe , he removes the wood from the axe , hits it again and it gets stuck once more and he walks out of view from the camera .","A man is standing outdoors wearing an orange tanktop and green shorts , holding an axe and then he swings it over his head and chops a piece of wood .",NA,No,"There is no clear indication that one event must precede the other. Each event describes a different man chopping wood, and their actions do not necessarily depend on each other."
128,There 's a small boy snowboarding down the slope .,The young snowboarder continues to go down the mountain slope steadily .,NA,Yes,"The second event describes the continuation of the first event, indicating that the boy was already snowboarding down the slope and continued to do so."
129,She slowly places the lens into her eyes .,A young woman is pulling back both of her eyelids open with her finger .,NA,Yes,Pulling back the eyelids would logically occur before placing the lens into the eyes.
130,A guy squats on ice next to a plant .,The guy brings a fish from the ice which is attached to the string .,NA,Yes,"The guy likely squats on the ice next to the plant in preparation for fishing. Subsequently, he brings up a fish from the ice."
131,A close up shot of one of the women begins as she 's talking and the banner indicates she 's a shuffleboard player by the name of FRIEDA GALLAWAY .,The women are now the focus and they are playing at a shuffleboard taking turns hitting the disc .,NA,Yes,"The close-up shot of Frieda Gallaway talking likely introduces her as a shuffleboard player before transitioning to the women, including Frieda, playing shuffleboard."
132,"The winner smiles , flexes his two arms , stands up , shows his arm muscles and he sits down on another table .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The arm wrestling match must have concluded with a winner before the winner can perform the described actions such as smiling, flexing, and sitting down."
133,He resumes mopping the living room .,The mop is wet and he uses it to clean the living room .,NA,Yes,The mop being wet and used to clean the living room must occur before he resumes mopping the living room.
134,A man is water skiing very fast .,An old black and white video is shown before cutting to several clips of boats being controlled and driven through the water .,NA,No,The two events describe different activities and settings. There is no clear indication that one event must precede the other.
135,"A counter top with lemons and ingredients in small bowls is shown , with several individuals standing by the counter .",The individual rearranges the items on the counter top .,NA,Yes,"Rearranging the items on the counter top would naturally occur after they have been placed there, hence the first event of showing the counter top with ingredients and lemons likely precedes the rearrangement."
136,A baby boy 's head floats up from water .,"Mothers grab their babies to come up for air , and a baby breathes as he looks at the camera .",NA,Yes,The sequence suggests a temporal relationship where the baby’s head comes up from the water before mothers grab their babies to ensure they come up for air and then the baby breathes while looking at the camera.
137,They pass by other people on kayaks as they sail along .,Then they get off the kayaks and stand on the river banks to look over the river .,NA,Yes,The people must first be sailing on kayaks (Event 1) before they can get off the kayaks and stand on the river banks (Event 2).
138,"Another man is also standing outdoors and he also swings the axe and chops a piece of wood and the wood piece gets stuck onto his axe , he removes the wood from the axe , hits it again and it gets stuck once more and he walks out of view from the camera .",The camera man then walks over to the cut pieces of wood and the outro screen comes on with scrolling words of the name of the men who were chopping the wood .,NA,Yes,"The sequence of events suggests a clear temporal order: the man finishes chopping the wood and walks out of view, after which the cameraman walks over to the cut pieces of wood and the outro screen appears."
139,A woman in a purple shirt is standing in a yard .,The dogs are playing with a frisbee .,NA,No,There is no clear indication that one event must happen before the other. The two events can occur independently at the same time or in any order.
140,"After , other dancers perform break dance .",Young boys dance break dance spinning and flipping on the floor .,NA,No,Both events involve breakdancing but there is no clear indication that one event must follow the other in a specific order.
141,"Two men are in a weight room , one is sitting in a chair , and the other is standing on a mat about to jerk the bar .","After him , a shirtless man tries to lift it but he ca n't get it off the ground either .",NA,Yes,"The second event likely follows the first because it mentions 'after him,' suggesting a sequence where multiple people are trying to lift the bar one after the other."
142,A man is kneeling on the ground shining a shoe .,A man in white walks down the sidewalk .,NA,No,There is no clear indication that one event must precede the other. They appear to be independent activities with no inherent temporal dependency.
143,We see a recap of the man 's performance .,We see a man throw his open legs around .,NA,No,The two events appear to describe different moments without a clear indication that one must precede the other.
144,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,A third boy appears as they pass him and he is also wearing a helmet .,NA,Yes,"Event 2 describes a third boy joining the group as they pass him, which is before Event 1 where a fourth boy joins. Thus, Event 2 precedes Event 1."
145,A man takes picture to the blindfold woman .,A man spins a blindfold woman holding a stick who is on front a piñata .,NA,No,There is no clear indication that either event must happen before the other. The man taking a picture and the man spinning the woman can occur in any order or even simultaneously.
146,A field of purple flowers is shown in an image .,The people rest in lawn chairs outside the cabin after they are done .,NA,No,The description of a field of purple flowers in an image and people resting in lawn chairs outside a cabin are unrelated events with no clear indication that one must occur before the other.
147,He continues speaking while holding the bow and shows how to aim the bow in various shots .,A man is seen speaking to the camera followed by him holding a bow and shows off it 's specs .,NA,Yes,"The sequence of narrations suggests that the man first speaks to the camera, then holds the bow, and subsequently shows how to aim the bow in various shots."
148,She laughs as the insertion is completed .,a man is cleaning the nose area of a girl sitting in a chair .,NA,No,"The events described could be part of entirely different contexts or moments, and one does not necessarily precede or follow the other based on the information provided."
149,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The camera pans out to reveal a dog standing in the room with the man with a white frisbee in its mouth .,NA,Yes,The second event seems to follow the first as the camera panning out reveals additional context of the scene involving the dog.
150,The camera zooms out and a yellow frame appears .,  Justin Beiber is playing the guitar with the youtube link below .,NA,No,The events described do not provide enough information to determine a temporal relationship between them. They could occur independently or in any order.
151,The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,A young Asian boy is sitting behind a trap - set smiling frantically in participation of his performance .,NA,Yes,"The first event discusses a boy continuing to play the drums, which suggests that he had already started his performance. The second event describes the same boy sitting behind the drum set, likely at the beginning or during his performance, indicating that Event 2 happens before Event 1."
152,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,There are some adults helping small children get ready with their snowboarding equipment and gear .,NA,Yes,The children need to be helped with their snowboarding equipment and gear before they can begin snowboarding and be taught various steps by the instructors.
153,We see more kids and people flip through .,A man falls mid flip .,NA,No,The two events describe different actions by different individuals without indicating a necessary sequence between them.
154,"The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",A black intro screen with a logo and words appear in red and white and black .,NA,Yes,"The event with the black outro screen likely comes after the event with the black intro screen, as 'outro' and 'intro' inherently suggest a temporal sequence where an outro follows an intro."
155,She adds gel and begins to start braiding the hair .,She begins to part the woman 's hair and then gives the information of the products that you would need in order to do it .,NA,Yes,The process of parting the hair and providing product information would logically occur before adding gel and starting to braid.
156,More people step up to take their turns fencing while also showing people on the side clapping .,Two people are then seen fencing against one another while people cheer on the sides .,NA,Yes,"Event 1 describes multiple people stepping up to take turns fencing, which implies a sequence of different pairs fencing. Event 2 then describes two specific people fencing. This could logically come after Event 1 as part of the sequence."
157,He waves his hand up in the air while his throw is shown again in slow motion and the audience reacting .,He runs down the track and throws the pole with the audience cheering and watch .,NA,Yes,"The slow-motion replay and the audience's reaction occur after he has completed his throw, indicating a temporal relationship between the events."
158,The individual rearranges the items on the counter top .,The individual puts some of the ingredients in small bowls into the mug .,NA,Yes,"The individual is likely rearranging the items on the countertop before putting some of the ingredients into the mug, as arranging the work space is a common preparatory step in kitchen activities."
159,  A young woman walks onto a gymnasium floor and begins performing a gymnastic baton routine in a gymnastic outfit .,"  The woman drops the baton , retrieves it , and continues to dance through to the end of the routine when she leaves the gymnasium floor .",NA,Yes,"The woman begins her routine in the first event, and in the second event, she continues her routine, drops the baton, retrieves it, and finishes the routine. Therefore, the first event occurs before the second event."
160,"She moved to the stove , the black pan is on the stove , she put the butter using a bread knife , covered the kettle with foil , placed the bread on the pan and press it using the kettle with foil , she stood beside the stove while she waits , then turn over the bread , press the kettle with foil on it .","A lady in short hair , wearing an orange top is standing by the kitchen counter , on the counter there are black pan , mayo , foil , plate , bread , knife .",NA,Yes,The second event describes the preparation setup in the kitchen before she begins the cooking process detailed in the first event.
161,The man finishes cutting the claws and pets the cat .,A cat sits on the lap of a man .,NA,Yes,It is likely that the cat sitting on the man's lap precedes the man cutting the cat's claws and then petting it. The sequence makes sense as the cat would need to be close to the man for him to cut its claws.
162,The lady puts pins in her hair on the side .,The lady rinses her face in her hands   with water .,NA,Yes,The lady would likely rinse her face before putting pins in her hair to avoid ruining her hairstyle.
163,  The man stops near the camera and starts talking again .,  The man walks to the grass and stands on the skateboard in the grass .,NA,No,"There is no clear indication that one event must precede the other. The man's actions of stopping near the camera and talking, and walking to the grass and standing on the skateboard could occur in any order."
164,The same various people are shown speaking while he continues to throw the shot put down the field with a huge amount of strength .,Various people speak to the camera as the athlete is shown again making more throws .,NA,Yes,"The second event mentions the athlete making more throws, which suggests that it follows after the initial throws described in the first event."
165,The two children return to playing with the house .,The two children return to playing with the slide .,NA,No,"The events describe the children playing with different toys, and there's no indication that one event must follow the other in a specific sequence."
166,The view then returns to the boys skateboarding together again as they pass homes on each sides of the road and they continue to pass the stick to one another to take turns taking the video .,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,NA,Yes,"Event 2 likely follows Event 1, as Event 2 mentions that a fourth boy has joined them, indicating a continuation and progression of the boys' skateboarding activity."
167,  The man and the woman begin to dance on a sidewalk in front of a small crowd of people gathered around them before ending the dance and collecting tips in a black top hat .,A man adjusts a radio while a woman stands in a ballroom dance pose preparing for a dance .,NA,No,"The two events involve different settings and contexts (sidewalk with a small crowd vs. preparing for a dance in a ballroom), making it unclear if they are temporally related or sequential within the same narrative."
168,Then the master leaves and the three students demonstrate their coordinated karate moves .,After she leaves the master comes on stage along with three other students .,NA,Yes,"The master leaving is an action that precedes the demonstration by the students. The second event indicates that the master comes on stage with three students, suggesting a sequence of events involving the master leaving and returning."
169,There 's a group of adults and kids kayaking through the river .,They pass by other people on kayaks as they sail along .,NA,Yes,The group of adults and kids must be kayaking on the river before they can pass by other people on kayaks as they continue to sail along.
170,"Kids are lining up , they are holding flags , a female kid dive into water from the edge of the diving board , a woman is hugging the man as they jumped to the pool .",A woman in blue swimsuit is standing at diving board then she walks towards the edge of the board bounce and jumped to the pool .,NA,Yes,"Event 2 describes a woman in a blue swimsuit standing at the diving board, walking towards the edge, and then jumping into the pool. Event 1 describes various activities including a woman hugging a man as they jump into the pool. It's likely that Event 2 precedes the jump described in Event 1, as the woman first has to jump into the pool before other related activities can occur."
171,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,The young snowboarders show off their talent as they go down the slopes .,NA,Yes,The young snowboarders would likely need to receive instruction and learn the steps from the instructors before they are able to show off their talent on the slopes.
172,"Another girl in a black shirt hops around , too .",They drink some ICEE 's and walk away .,NA,No,There is no clear indication that one event must occur before the other. Hopping around and drinking ICEEs could happen in either order or even simultaneously.
173,"He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",He hits a strike again for the second time in a row .,NA,Yes,"The first event describes hitting a strike for the first time, while the second event describes hitting another strike consecutively, indicating a clear temporal order."
174,He puts the sandwich into a plastic Tupperware box .,A man is standing in a kitchen making a sandwich .,NA,Yes,"Typically, one would make a sandwich before putting it into a Tupperware box, indicating a temporal order where sandwich-making precedes storing it in the box."
175,"First she irons her shirt , then she irons her folded red sweater .",This little baby is shown pretending to iron her clothes .,NA,No,"The two events involve different subjects performing different activities involving ironing, but there is no clear temporal connection or sequence between the actions described in the two events."
176,The man repeatedly runs down the track and throws the javelin .,We see 86 m in the upper right corner of the screen .,NA,Yes,"The distance of 86 meters displayed is likely the result of the man throwing the javelin. Therefore, the act of throwing the javelin precedes the display of the distance."
177,  The scene fades to black .,The camera zooms out and a yellow frame appears .,NA,No,"The events are related to cinematographic techniques, but it is not specified that one must happen before the other. Both events could happen independently without a mandated order."
178,"He wins a final game , his opponent in a neck brace .",The man is shown interviewing numerous different people while talking about the drink .,NA,No,There is no clear indication that one event must occur before the other. The events are unrelated based on the given summaries.
179,We see the man shake hands and hug people   and sit down .,We see a man throw his open legs around .,NA,No,"The two events describe different activities, and there is no clear indication that one must occur before the other."
180,A woman is in a room talking to the camera .,"We then see her melting dark chocolate in a double boiler before applying it to the sandwich , and grilling it .",NA,Yes,The word 'then' indicates that the event of her melting dark chocolate and grilling the sandwich happens after she talks to the camera.
181,People are sitting under the bridge watching .,A man in a yellow shirt is standing watching .,NA,No,"There is no clear indication of one event needing to precede the other. Both events involve people watching something, but there is no temporal dependency between them."
182,A large group of people are seen standing around a city center waiting for people to arrive .,Girls dancing are seen walking through the parade as other people watch on the side .,NA,Yes,"The group of people waiting at the city center likely precedes the parade with girls dancing, as people usually gather before a planned event like a parade happens."
183,Two professional wrestlers climb silver ladders .,A masked wrestler hits a unmasked wrestler on his shoulder .,NA,No,There is no clear indication that one of the events must happen before the other. Both events are typical wrestling actions that can occur independently in different sequences during a wrestling match.
184,"A man talks for a brief moment , a black screen appears with some foreign letters on it , then a woman is shown getting most of her hair braided by another woman , curled , teased , and then hair sprayed into a style .","A special effect screen appears with a green heart that is made to look like it 's beating and has a white clip art scissors in the middle of it and the gray words "" PARIKMAXER TV "" under the heart .",NA,No,"The two events do not show a clear sequence or dependency on each other. The first event describes a scene involving people and actions related to hair styling, while the second event seems to be a special effect screen with a title or logo, which could occur independently of the first event."
185,We see a man and a boy playing in the sand .,The   man fills he bucket and dumps it out .,NA,Yes,"Filling the bucket and dumping it out is likely part of the playing activity in the sand, and thus it occurs during the playtime. Therefore, the specific action of filling and dumping the bucket (Event 2) happens during the broader act of playing in the sand (Event 1)."
186,A woman is seen pumping water out of a machine while another wheel kneels down in front and washes clothes .,The people speak back and fourth to one another while the camera pans around and watches them work .,NA,No,The events described could be happening simultaneously or independently; one does not necessarily have to precede the other.
187,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",The man then takes the iron straight to the fabric and begins to glide the iron over the material and the words on the screen indicate that it 's to melt the wax into the skin using low temperature to avoid burning the skin .,NA,Yes,"The man needs to pick up the container and identify the wax before starting to melt it into the fabric with the iron. Therefore, the first event likely precedes the second event."
188,We fade in from black as the man talks .,The camera zooms out on the man playing the accordion .,NA,No,There is not enough information to determine that one event must necessarily occur before the other. The events could happen in any order.
189,"A man is washing his soapy hands in a sink while the water is running and as the timer is counting down on the right , he rinses his hands at the 20 second mark then dries them off with a brown paper towel .","A black screen appears and green words scroll from the bottom to the top and stop when it fills the screen and say 's "" NDA&CS Food & Drug Protection Division "" and there 's a circular logo in the middle .",NA,No,"The two events described do not provide any clear sequence or dependency between them, and there is no indication that one must follow or precede the other."
190,Two young people are playing pairs tennis indoors while people watch behind them .,The camera returns to show the first pair of players .,NA,Yes,"The camera returning to show the first pair of players implies that the first pair was shown initially, indicating a temporal sequence."
191,A guy shakes hand with a player and gives him an animal trophy .,A woman smiles and talks outside .,NA,No,"The two events described are unrelated to each other, and there is no clear order or dependency between the two, making any temporal relationship speculative at best."
192,The tattoo artist glues the design onto the arm of a woman .,The cups of ink are nearby .,NA,No,"The presence of the cups of ink nearby does not necessarily depend on the tattoo artist gluing the design onto the arm of a woman, and vice versa. These events can occur independently."
193,Tips and steps appear and a man in a red apron begins to demonstrate each step onto a canvas while he 's using his paint brush and in his right hand and holding his palette and paint i his left hand .,"The intro screen appears with the words Howcast , a flag banner with the words "" HOW TO PAINT WITH OILS "" appear and various people are show painting on canvases .",NA,Yes,"The intro screen typically appears first to introduce the topic, followed by the demonstration steps and the man beginning to paint."
194,The video ends with a special effect of them going backwards instead of forwards and one of the boys holds his hand up to show a shaka sign made with his left hand .,The view then returns to the boys skateboarding together again as they pass homes on each sides of the road and they continue to pass the stick to one another to take turns taking the video .,NA,No,"The two events describe different scenes and actions in a video. One describes the ending of the video, while the other describes an ongoing sequence within the video. Their relationship is not strictly temporal in sequence."
195,A male surfer shows off his skills with a board shaped like a snow sled as he is pulled by a jet - ski but stops to enter a hut on the beach in order to trade out with another surfer that is bald .,Then he comes to and back from the hut with a blow up whale floatie he tries to surf with .,NA,Yes,"After the male surfer stops surfing and enters the hut to trade with another surfer, he later comes out of the hut with a blow-up whale floatie to surf with. The entry into the hut happens before he comes back out with the floatie."
196,She slowly places the lens into her eyes .,She blinks a few times making sure the lens is properly in place .,NA,Yes,"After placing the lens into her eyes, she would need to blink a few times to make sure the lens is properly in place."
197,"A man is tied to the top of a rock wall and he quickly repels and the words "" clean big falls ! "" appear on the screen .",Men tied up with safety gear are hanging from large rock walls and repelling very quickly either alone with other people on the same rock .,NA,No,"Both events involve people repelling from rock walls with safety gear, but there is no clear indication that one event must occur before the other."
198,We see the blue opening screen .,The man then puts on his gloves and dances a bit in the yard .,NA,No,There is no clear dependency or sequence between seeing a blue opening screen and a man putting on gloves and dancing. The two events could occur independently of each other.
199,A close up of a plane is seen followed by a woman sitting behind a desk and another speaking to the camera .,The woman continues speaking as well as showing shots of dogs being groomed .,NA,Yes,"Event 2 describes a continuation of the woman speaking, which begins in Event 1. This indicates that Event 1 occurs before Event 2."
200,There are some adults helping small children get ready with their snowboarding equipment and gear .,The small children are going on snowboarding lifts to begin their lessons .,NA,Yes,The children must be helped with their snowboarding equipment and gear before they can go on the snowboarding lifts to begin their lessons.
